,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
0,Boldfit,Men,1599,1499,56,3.8,100,Low-Mid,Average,Casual
1,Boldfit,Men,1599,1199,56,3.8,400,Low-Mid,Average,Casual
2,Campus,Men,1499,999,58,4.2,500,Budget,Good,Unknown
3,Boldfit,Men,999,1199,58,3.7,-200,Low-Mid,Average,Casual
4,Campus,Men,3499,699,38,3.8,2800,Budget,Average,Unknown
5,ASIAN,Men,3499,631,38,4.0,2868,Budget,Average,Casual
6,SPARX,Men,2799,617,70,4.1,2182,Budget,Good,Unknown
7,Bacca Bucci,Men,2499,1304,70,4.1,1195,Low-Mid,Good,Casual
8,Boldfit,Men,2499,1199,70,4.1,1300,Low-Mid,Good,Casual
9,Cruiser,Men,2499,899,70,4.1,1600,Budget,Good,Unknown
10,SPARX,Men,749,1608,63,4.1,-859,Low-Mid,Good,Casual
11,Campus,Men,2799,1199,63,4.1,1600,Low-Mid,Good,Casual
12,SPARX,Men,849,1149,57,4.1,-300,Low-Mid,Good,Casual
13,ASIAN,Men,1499,1199,57,4.3,300,Low-Mid,Good,Unknown
14,Skechers,Women,6499,636,54,4.2,5863,Budget,Good,Casual
15,PUMA,Unisex,4499,849,54,3.7,3650,Budget,Average,Unknown
16,Phil Alden Robinson,Unknown,1499,759,15,4.4,740,Budget,Good,Casual
17,ASIAN,Men,3099,2624,15,4.0,475,Mid,Average,Casual
18,Campus,Men,2899,553,70,4.6,2346,Budget,Excellent,Unknown
19,Campus,Men,7999,1568,70,3.8,6431,Low-Mid,Average,Unknown
20,ASICS,Men,2599,99,35,4.3,2500,Budget,Good,Unknown
21,Campus,Men,2799,650,35,4.3,2149,Budget,Good,Casual
22,Campus,Men,1499,849,49,3.9,650,Budget,Average,Casual
23,Centrino,Men,4599,959,49,4.1,3640,Budget,Good,Unknown
24,Centrino,Men,9999,5131,60,4.4,4868,Premium,Good,Unknown
25,Cruiser,Men,3999,959,60,3.9,3040,Budget,Average,Casual
26,Cruiser,Men,1799,999,65,3.9,800,Budget,Average,Casual
27,ASIAN,Men,2199,499,65,4.2,1700,Budget,Good,Casual
28,U.S. Polo Assn.,Men,1999,749,57,4.4,1250,Budget,Good,Unknown
29,new balance,Unisex,3699,649,57,4.0,3050,Budget,Average,Casual
30,U.S. Polo Assn.,Unknown,3499,1295,73,4.3,2204,Low-Mid,Good,Unknown
31,Campus,Men,3999,1999,73,3.9,2000,Low-Mid,Average,Unknown
32,SPARX,Men,5999,2580,67,4.1,3419,Mid,Good,Unknown
33,Campus,Men,3999,631,67,3.9,3368,Budget,Average,Casual
34,Campus,Unknown,2699,5499,36,4.2,-2800,Premium,Good,Casual
35,U.S. Polo Assn.,Men,1699,799,36,4.1,900,Budget,Good,Casual
36,U.S. Polo Assn.,Unknown,1099,1092,63,4.1,7,Low-Mid,Good,Unknown
37,PUMA,Men,1999,1399,63,4.3,600,Low-Mid,Good,Unknown
38,U.S. Polo Assn.,Men,1499,1849,64,4.0,-350,Low-Mid,Average,Casual
39,Campus,Men,3699,899,64,3.7,2800,Budget,Average,Unknown
